,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1387494000000,1442444400000,no,http://twitter.com,
1,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1386284400000,1636268400000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
2,ASP.NET 2.0,,ASP.NET version 2.0.*,framework,1385679600000,1447196400000,no,http://www.microsoft.com/net,ASP.NET
3,SSL.com,['Root Authority'],Certificate provided by SSL.com,ssl,1380236400000,1380236400000,no,http://ssl.com,
4,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1379026800000,1515625200000,no,http://geotrust.com,
5,RapidSSL,,RapidSSL certificate provider.,ssl,1379026800000,1515625200000,no,http://rapidssl.com,
6,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1378422000000,1629270000000,no,http://www.facebook.com,
7,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1378422000000,1589410800000,no,http://akamai.com,
8,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1378422000000,1381705200000,no,http://developers.facebook.com/docs/reference/plugins/like/,
9,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1378422000000,1629270000000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
10,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1369922400000,1636268400000,no,http://jquery.com,jQuery
11,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1369922400000,1447196400000,no,http://www.asp.net,
12,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1369922400000,1627887600000,no,http://jqueryui.com/,jQuery
13,ASP.NET Ajax,,"ASP.NET AJAX is a free framework for quickly creating a new generation of more efficient, more interactive and highly-personalized Web experiences that work across all the most popular browsers.",framework,1369922400000,1447196400000,no,http://ajax.asp.net,
14,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1369922400000,1614844800000,no,http://twitter.com/settings/widgets,
15,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1369922400000,1636268400000,no,https://fonts.google.com,
16,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1369922400000,1614844800000,no,http://twitter.com/about/resources,
17,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1369922400000,1636268400000,no,http://developers.facebook.com/docs/reference/javascript/,
18,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1369922400000,1636268400000,no,http://google.com/analytics,
19,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1369922400000,1636268400000,no,http://developers.facebook.com/,
20,DNN Software,['Open Source'],DotNetNuke is an open source framework built on ASP.net ideal for creating Enterprise Web Applications from DNN Corp.,cms,1369922400000,1447196400000,maybe,http://dnnsoftware.com,
21,IIS 7,,Internet-based services for servers using Microsoft Windows.,Web Server,1369922400000,1447196400000,no,http://www.iis.net,IIS
22,Telerik Controls,,Telerik controls for ASP.NET websites.,framework,1369922400000,1447196400000,yes,http://telerik.com,
23,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1369922400000,1447196400000,no,http://www.microsoft.com/servers/home.mspx,
24,Parallels Plesk Panel,,"Host and manage websites and servers at any scale, includes virtualization software.",Server,1369922400000,1447196400000,no,http://www.parallels.com/products/plesk/,
25,Ultra Serve Internet,"['Cloud Hosting', 'Australian hosting']",Ultra Serve Internet provides cloud services and is based in Australia.,hosting,1369922400000,1416096000000,no,http://ultraserve.com.au,
26,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397862000000,1636268400000,no,http://www.openspf.org/,
27,Sendgrid,['Transactional Email'],SendGrid's cloud-based email infrastructure provides businesses with email delivery management.,mx,1397862000000,1636268400000,yes,http://sendgrid.com/,
28,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1406156400000,1636268400000,no,http://youtube.com,
29,Microsoft Azure DNS,,This domain is verified with Microsoft Azure.,mx,1408838400000,1480978800000,no,http://windowsazure.com,
30,Web24,"['Australian hosting', 'Dedicated Hosting']","Australian dedicated, reseller, virtual and web hosting solutions.",hosting,1416700800000,1447196400000,no,http://web24.net.au,
31,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1431558000000,1633158000000,no,http://www.php.net,
32,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1434582000000,1629270000000,no,https://google.com,
33,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1438815600000,1484002800000,no,http://www.doubleclick.com,
34,DNN 6.02,,DNN Software Version 6.02,cms,1440630000000,1444690800000,no,http://dnnsoftware.com,DNN Software
35,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1443654000000,1596092400000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
36,DNS Made Easy DNS,,Downtime prevention DNS provider.,ns,1447196400000,1479855600000,no,http://dnsmadeeasy.com,
37,Yoast Plugins,['WordPress Plugins'],SEO based plugins from Yoast.,widgets,1449788400000,1636268400000,no,http://yoast.com/wordpress/seo/,
38,Swipe JS,,Swipe is a lightweight mobile slider with 1:1 touch movement.,javascript,1449788400000,1527894000000,no,http://swipejs.com/,
39,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1449788400000,1527894000000,no,http://jquery.malsup.com/cycle/,jQuery
40,Yoast WordPress SEO Plugin,['WordPress Plugins'],"Functionality that helps you optimize your pages content, images titles, meta descriptions and more.",widgets,1449788400000,1636268400000,no,https://yoast.com/wordpress/plugins/seo/,Yoast Plugins
41,Really Simple Discovery,,"Really Simple Discovery is a way to help client software find the services needed to read, edit, or ""work with"" weblogging software.",feeds,1449788400000,1636268400000,no,http://cyber.law.harvard.edu/blogs/gems/tech/rsd.html,
42,Twitter Embedded Tweets,,Embedded Tweet feature allows websites to generate copy and paste-able HTML markup to render a Tweet on any third-party website.,widgets,1449788400000,1527980400000,no,https://dev.twitter.com/docs/embedded-tweets,
43,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1449788400000,1633244400000,no,http://fontawesome.io,
44,Wordpress Monthly Activity,['Blog'],The WordPress site has new blog activity on a monthly interval.,cms,1449788400000,1527894000000,no,http://wordpress.com,WordPress
45,YouTube IFrame Upload,,Lets users upload videos to YouTube from any webpage.,widgets,1449788400000,1527980400000,no,http://developers.google.com/youtube/youtube_upload_widget,
46,Mobile Non Scaleable Content,,"This content is formatted for mobile devices, it does not allow the content to be scaled.",mobile,1449788400000,1636268400000,no,http://developer.apple.com/library/safari/#documentation/appleapplications/reference/SafariHTMLRef/Articles/MetaTags.html,
47,Gravity Forms,['Feedback Forms and Surveys'],Contact Forms for WordPress.,widgets,1449788400000,1636268400000,yes,http://www.gravityforms.com/,
48,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1449788400000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
49,Gravity Forms Placeholders,['WordPress Plugins'],Adds HTML5 placeholder support to Gravity Forms' fields with a Javascript fallback. ,widgets,1449788400000,1563231600000,no,https://wordpress.org/plugins/gravity-forms-placeholders/,
50,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1449788400000,1636268400000,no,http://nginx.net/,
51,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1449788400000,1614844800000,no,http://www.modernizr.com,
52,Live Writer Support,,Windows Live Writer Tagging Support Schema,feeds,1449788400000,1636268400000,no,http://windowslivewriter.spaces.live.com,
53,Wordpress Plugins,,Plugins are tools to extend the functionality of WordPress. The website uses various plugins from WordPress to provide additional functionality. Some of them may be listed here.,widgets,1449788400000,1636268400000,no,http://codex.wordpress.org/Plugins,
54,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1449788400000,1632985200000,no,http://www.facebook.com/facebook-widgets/share.php,
55,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1449788400000,1633244400000,no,https://github.com/afarkas/html5shiv,
56,Google Tag Manager,['Tag Management'],Tag management that lets you add and update website tags without changes to underlying website code.,widgets,1449788400000,1636268400000,no,http://google.com/tagmanager,
