,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,HTML5 DocType,,The DOCTYPE is a required preamble for HTML5 websites.,docinfo,1636515149346,1636515149346,no,https://www.w3.org/TR/html51/,
1,Conditional Comments,,The website uses conditional comments that are supported by Microsoft Internet Explorer. They allow web developers to show or hide HTML code based on the version of the viewer's browser.,docinfo,1636515149346,1636515149346,no,http://www.quirksmode.org/css/condcom.html,
2,HTML5 Boilerplate,,This site is using code from the HTML5 Boilerplate project.,docinfo,1636515149346,1636515149346,no,http://html5boilerplate.com,
3,UTF-8,,UTF-8 (8-bit UCS/Unicode Transformation Format) is a variable-length character encoding for Unicode. It is the preferred encoding for web pages.,encoding,1636515149346,1636515149346,no,http://en.wikipedia.org/wiki/UTF-8,
4,SEO_TITLE,,SEO Title,seo_title,1636515149346,1636515149346,no,,
5,Meta Description,,The description attribute provides a concise explanation of the page content.,docinfo,1636515149346,1636515149346,no,http://en.wikipedia.org/wiki/Meta_tag#The_description_attribute,
6,SEO_META_DESCRIPTION,,SEO Meta Description,seo_meta,1636515149346,1636515149346,no,http://builtwith.com,
7,Meta Robot,,This page contains a meta robots tag which tells search engines and robots to index or not index the page.,docinfo,1636515149346,1636515149346,no,http://en.wikipedia.org/wiki/Robots_Exclusion_Standard,
8,Canonical Content Tag,,Public specification of a preferred URL for a page allows search engines to understand the original location for content.,docinfo,1636515149346,1636515149346,no,http://googlewebmastercentral.blogspot.com/2009/02/specify-your-canonical.html,
9,Open Graph Protocol,,"The Open Graph protocol enables any web page to become a rich object in a social graph, a open protocol supported by Facebook",docinfo,1636515149346,1636515149346,no,http://opengraphprotocol.org/,
10,Twitter Cards,,Twitter cards make it possible for you to attach media experiences to Tweets that link to your content.,docinfo,1636515149346,1636515149346,no,https://dev.twitter.com/docs/cards,
11,X-UA-Compatible,,"Allows a website to define how a page is rendered in Internet Explorer 8, allowing a website to decide to use IE7 style rendering over IE8 rendering.",docinfo,1636515149346,1636515149346,no,http://blogs.msdn.com/ie/archive/2008/06/10/introducing-ie-emulateie7.aspx,
12,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1636515149346,1636515149346,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
13,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1636515149346,1636515149346,no,http://apple.com,
14,Web App Manifest,,Defines the attributes of a web app in a simple JSON file.  It describes how the web app should appear on the users system and how it should launch.,docinfo,1636515149346,1636515149346,no,https://www.w3.org/TR/appmanifest/,
15,WordPress,"['Open Source', 'Blog']","WordPress is a state-of-the-art semantic personal publishing platform with a focus on aesthetics, web standards, and usability.",cms,1636515149346,1636515149346,no,http://wordpress.org,
16,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1636515149346,1636515149346,no,http://jquery.com,jQuery
