,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,HTML5 DocType,,The DOCTYPE is a required preamble for HTML5 websites.,docinfo,1636515142407,1636515142407,no,https://www.w3.org/TR/html51/,
1,UTF-8,,UTF-8 (8-bit UCS/Unicode Transformation Format) is a variable-length character encoding for Unicode. It is the preferred encoding for web pages.,encoding,1636515142407,1636515142407,no,http://en.wikipedia.org/wiki/UTF-8,
2,X-UA-Compatible,,"Allows a website to define how a page is rendered in Internet Explorer 8, allowing a website to decide to use IE7 style rendering over IE8 rendering.",docinfo,1636515142407,1636515142407,no,http://blogs.msdn.com/ie/archive/2008/06/10/introducing-ie-emulateie7.aspx,
3,SEO_TITLE,,SEO Title,seo_title,1636515142407,1636515142407,no,,
4,Meta Keywords,,Meta tag containing keywords related to the page.,docinfo,1636515142407,1636515142407,no,http://en.wikipedia.org/wiki/Meta_tag#The_keywords_attribute,
5,SEO_META_KEYWORDS,,SEO Meta Keywords,seo_meta,1636515142407,1636515142407,no,http://builtwith.com,
6,Meta Description,,The description attribute provides a concise explanation of the page content.,docinfo,1636515142407,1636515142407,no,http://en.wikipedia.org/wiki/Meta_tag#The_description_attribute,
7,SEO_META_DESCRIPTION,,SEO Meta Description,seo_meta,1636515142407,1636515142407,no,http://builtwith.com,
8,Meta Robot,,This page contains a meta robots tag which tells search engines and robots to index or not index the page.,docinfo,1636515142407,1636515142407,no,http://en.wikipedia.org/wiki/Robots_Exclusion_Standard,
9,Open Graph Protocol,,"The Open Graph protocol enables any web page to become a rich object in a social graph, a open protocol supported by Facebook",docinfo,1636515142407,1636515142407,no,http://opengraphprotocol.org/,
10,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1636515142407,1636515142407,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
11,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1636515142407,1636515142407,no,http://apple.com,
12,Cascading Style Sheets,,Cascading Style Sheets (CSS) is a stylesheet language used to describe the presentation of a document written in a markup language. Its most common application is to style web pages written in HTML ,docinfo,1636515142407,1636515142407,no,http://en.wikipedia.org/wiki/Cascading_Style_Sheets,
13,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1636515142407,1636515142407,no,http://www.modernizr.com,
14,Javascript,,JavaScript is a scripting language most often used for client-side web development.,docinfo,1636515142407,1636515142407,no,http://en.wikipedia.org/wiki/JavaScript,
15,Mobile Non Scaleable Content,,"This content is formatted for mobile devices, it does not allow the content to be scaled.",mobile,1636515142407,1636515142407,no,http://developer.apple.com/library/safari/#documentation/appleapplications/reference/SafariHTMLRef/Articles/MetaTags.html,
16,Conditional Comments,,The website uses conditional comments that are supported by Microsoft Internet Explorer. They allow web developers to show or hide HTML code based on the version of the viewer's browser.,docinfo,1636515142407,1636515142407,no,http://www.quirksmode.org/css/condcom.html,
17,HTML5 Boilerplate,,This site is using code from the HTML5 Boilerplate project.,docinfo,1636515142407,1636515142407,no,http://html5boilerplate.com,
18,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1636515142407,1636515142407,no,http://developers.facebook.com/,
19,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1636515142407,1636515142407,no,http://developers.facebook.com/docs/reference/javascript/,
20,HTML 5 Specific Tags,,This page contains tags that are specific to an HTML 5 implementation.,docinfo,1636515142407,1636515142407,no,http://dev.w3.org/html5/html-author/,
21,SEO_H1,,SEO H1,seo_headers,1636515142407,1636515142407,no,,
22,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1636515142407,1636515142407,no,http://www.facebook.com/facebook-widgets/share.php,
23,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1636515142407,1636515142407,no,https://twitter.com/about/resources/buttons#tweet,
24,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1636515142407,1636515142407,no,http://twitter.com/settings/widgets,
25,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1636515142407,1636515142407,no,http://twitter.com/about/resources,
26,SEO_H2,,SEO H2,seo_headers,1636515142407,1636515142407,no,,
27,Google Maps API,,Google Maps has a wide array of APIs that let you embed the functionality of Google Maps.,mapping,1636515142407,1636515142407,no,https://developers.google.com/maps/,
28,Google Maps,['Maps'],Google maps embedded into the webpage.,mapping,1636515142407,1636515142407,no,http://www.google.com/apis/maps/,
29,Google Maps for Work,,Google Maps for work.,mapping,1636515142407,1636515142407,no,https://www.google.com/work/mapsearth/,Google Maps
30,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1636515142407,1636515142407,no,http://google.com/analytics,
31,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1636515142407,1636515142407,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
32,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1636515142407,1636515142407,no,http://www.php.net,
