,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1380841200000,1554073200000,no,https://google.com,
1,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1364302800000,1454540400000,no,http://akamai.com,
2,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1364302800000,1364302800000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
3,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1364302800000,1632207600000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
4,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1364302800000,1632207600000,no,http://www.facebook.com,
5,TYPO3,"['Community CMS', 'Enterprise', 'Open Source']",TYPO3 Content Management Framework for enterprise purposes on the web and in intranets written in PHP.,cms,1343570400000,1636444800000,no,http://www.typo3.org,
6,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1343570400000,1636444800000,no,http://www.google.com/webmasters/,
7,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1343570400000,1636444800000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
8,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1354798800000,1635145200000,no,http://youtube.com,
9,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1354798800000,1412121600000,no,http://www.macromedia.com/software/flash/about/,
10,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1343570400000,1636444800000,no,http://twitter.com,
11,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1343570400000,1564786800000,no,http://developers.facebook.com/,
12,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1343570400000,1502233200000,no,http://developers.facebook.com/docs/reference/plugins/like,
13,Google Plus One Platform,,Google+ API functionality.,widgets,1348668000000,1481842800000,no,https://developers.google.com/+/,
14,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1343570400000,1636358400000,no,http://jquery.com,jQuery
15,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1343570400000,1412121600000,no,http://jquery.malsup.com/form/,jQuery
16,jQuery Tools,['jQuery Plugin'],A collection of the most important user-interface components for todays websites.,javascript,1343570400000,1502233200000,no,http://flowplayer.org/tools/,jQuery
17,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1343570400000,1412121600000,no,https://github.com/carhartl/jquery-cookie,jQuery
18,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1343570400000,1636268400000,no,http://google.com/analytics,
19,Varnish,,Varnish is a web accelerator / reverse proxy caching server.,Web Server,1343570400000,1538434800000,no,http://varnish-software.com/,
20,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1343570400000,1447196400000,no,http://httpd.apache.org/,
21,MailChimp,['Feedback Forms and Surveys'],MailChimp is a widely used Mailng List delivery and support service.,widgets,1401235200000,1620543600000,maybe,http://www.mailchimp.com,
22,Google API,,The website uses some form of Google APIs to provide interaction with the many API's Google Providers.,javascript,1405296000000,1481842800000,no,http://code.google.com,
23,Fonts.com,['Fonts'],Uses web fonts from fonts.com.,widgets,1412467200000,1543791600000,no,http://www.fonts.com,
24,Neos CMS,,Neos is a next-generation open source content management system previously known as TYO3 Neos. Neos is based on the PHP framework TYPO3 Flow.,cms,1412467200000,1633158000000,no,https://www.neos.io/,
25,jQuery Masonry,['UI'],Masonry is a layout plugin for jQuery. Think of it as the flip side of CSS floats.,javascript,1412467200000,1623308400000,no,http://desandro.com/resources/jquery-masonry/,jQuery
26,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1412809200000,1440460800000,no,http://geotrust.com,
27,Facebook Graph API,,This site has content that utilizes the Facebook Graph API,javascript,1412809200000,1566774000000,no,http://developers.facebook.com/docs/api,
28,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1413331200000,1636444800000,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
29,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1413331200000,1636444800000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
30,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1416700800000,1635145200000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
31,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1419811200000,1564786800000,no,http://developers.facebook.com/docs/reference/javascript/,
32,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1430348400000,1636268400000,no,http://trends.builtwith.com/ssl,
33,Cloudflare,,Automatically optimizes the delivery of your web pages so your visitors get the fastest page load times and best performance.,cdn,1453255362676,1636444800000,no,http://www.cloudflare.com/,
34,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1453255362676,1513292400000,no,http://nginx.net/,
35,Cloudflare Hosting,"['US hosting', 'Cloud Hosting', 'Cloud PaaS']",Supercharged web hosting service.,hosting,1452466800000,1636268400000,no,http://cloudflare.com,
36,Cloudflare DNS,,DNS services provided by Cloudflare.,ns,1453330800000,1636268400000,no,http://cloudflare.com,
37,Facebook Pixel,,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.,analytics,1466550000000,1522969200000,no,https://www.facebook.com/business/help/952192354843755,
38,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1466550000000,1522969200000,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
39,Comodo PositiveSSL,,Comodo Positive SSL certificate.,ssl,1466722800000,1574290800000,no,http://www.positivessl.com/ssl-certificate-positivessl.php,
40,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1466722800000,1574290800000,no,http://comodo.com,
41,Cloudflare SSL,,SSL solutions from Cloudflare,ssl,1466722800000,1636444800000,no,http://cloudflare.com,
42,Fizzy UI Utils,,UI utilities & helpers,javascript,1477522800000,1623308400000,no,https://github.com/metafizzy/fizzy-ui-utils,
43,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1477522800000,1636268400000,no,http://www.doubleclick.com,
44,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1477522800000,1636268400000,no,http://www.openspf.org/,
45,IPv6,,The website has an IPv6 record.,Server,1477522800000,1636268400000,no,http://en.wikipedia.org/wiki/IPv6,
46,MailChimp SPF,['Campaign Management'],This site has an SPF record for MailChimp managed email sending.,mx,1477522800000,1636268400000,maybe,http://mailchimp.com,
47,TYPO3 Flow,,TYPO3 Flow is a web application platform from TYPO3.,cms,1477522800000,1636444800000,no,http://flow.typo3.org/,TYPO3
48,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1504479600000,1636444800000,no,https://github.com/afarkas/html5shiv,
49,Facebook Signal,,"Journalists use Signal to surface relevant trends, photos, videos and posts from Facebook and Instagram for use in their storytelling and reporting.",analytics,1504479600000,1522796400000,no,https://www.facebook.com/facebookmedia/get-started/signal,
50,Picturefill,['Compatibility'],Responsive image polyfill.,javascript,1520290800000,1581980400000,no,http://scottjehl.github.io/picturefill/,
51,imagesLoaded,,jQuery plugin for seeing if the images are loaded.,javascript,1520290800000,1631257200000,no,https://github.com/desandro/imagesloaded,
52,Silktide Cookie Consent,,"A free, open source solution to the EU cookie law. Now known as Cookie Consent by Insites.",widgets,1527894000000,1591052400000,no,http://silktide.com/cookieconsent,
53,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1527894000000,1636444800000,no,http://apple.com,
54,Google Search Appliance,['Enterprise'],Google Search for Work system provides searching of internal business systems.,cms,1530572400000,1581980400000,yes,https://www.google.com.au/work/search/products/gsa.html,
55,zepto.js,['Framework'],"Zepto.js is a minimalist JavaScript framework for mobile WebKit browsers, with a jQuery-compatible syntax.",javascript,1535497200000,1535497200000,no,http://zeptojs.com/,
56,reCAPTCHA,['CAPTCHA'],Anti-bot CAPTCHA widget from Google.,widgets,1535497200000,1535497200000,no,https://www.google.com/recaptcha/intro/index.html,
57,Polyglot.js,,A tiny I18n helper library from airbnb.,javascript,1535497200000,1535497200000,no,http://airbnb.io/polyglot.js/,
58,Flow Framework,,Flow is a free PHP framework licensed under the MIT license.,framework,1535324400000,1636444800000,no,https://flowframework.readthedocs.io/en/stable/,
59,Typekit,,Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the world's best type foundries.,widgets,1543532400000,1636444800000,no,http://typekit.com,
