,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,SSL.com,['Root Authority'],Certificate provided by SSL.com,ssl,1380236400000,1380236400000,no,http://ssl.com,
1,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1372806000000,1424044800000,no,http://geotrust.com,
2,RapidSSL,,RapidSSL certificate provider.,ssl,1372806000000,1636444800000,no,http://rapidssl.com,
3,ZoneEdit,,Advanced DNS Management services.,ns,1346972400000,1401235200000,no,http://zoneedit.com,
4,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1333634400000,1444789579238,no,http://www.huddletogether.com/projects/lightbox/,
5,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1325854800000,1636182000000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
6,Google JS Api,,Use the Google Loader API. Also see Google API for more generic calls to Google.,javascript,1320584400000,1498604400000,no,https://developers.google.com/loader/,
7,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1320584400000,1551567600000,no,http://www.drupal.org,
8,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1320584400000,1572822000000,no,http://twitter.com,
9,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1320584400000,1449702000000,no,http://akamai.com,
10,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1315144800000,1551567600000,no,http://developers.facebook.com/,
11,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1315144800000,1636444800000,no,http://www.google.com/webmasters/,
12,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1315144800000,1427760000000,no,http://developers.facebook.com/docs/reference/plugins/like,
13,Facebook Domain Insights,['Social Management'],This website contains tracking information that allows admins to see Facebook Insights out of Facebook to this domain.,analytics,1315144800000,1636444800000,no,http://www.facebook.com/insights/,
14,Ruby on Rails Token,,Ruby on Rails is an open-source web framework that is optimized for programmer happiness and sustainable productivity. Note that Ruby on Rails has two detection techniques and this is one of them.,framework,1315144800000,1537830000000,no,http://www.rubyonrails.org/,
15,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1315144800000,1636444800000,no,http://google.com/analytics,
16,Typekit,,Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the world's best type foundries.,widgets,1315144800000,1551567600000,no,http://typekit.com,
17,Quantcast Measurement,"['Audience Measurement', 'Mobile']",Provides Quantcast with tracking information about your site which anyone can access and view demographic information.,analytics,1315144800000,1527289200000,no,http://www.quantcast.com,
18,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1315144800000,1636444800000,no,http://code.google.com/apis/ajaxlibs/documentation/,
19,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1315144800000,1636444800000,no,http://jquery.com,jQuery
20,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1315144800000,1546470000000,no,http://jqueryui.com/,jQuery
21,PNG Fix,['Compatibility'],Fixes PNG handling in IE,javascript,1315144800000,1315144800000,no,http://homepage.ntlworld.com/bobosola/pnghowto.htm,
22,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1315144800000,1605600000000,no,http://blog.deconcept.com/swfobject/,
23,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1315144800000,1315144800000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
24,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1315144800000,1636444800000,no,http://www.modernizr.com,
25,JW Player,['Video Players'],The JW Player has evolved through the history of online video since the time Jeroen wrote the first version in 2005. The experience we have developed over those years are built into the JW Player.,media,1315144800000,1315144800000,no,http://www.longtailvideo.com/players/,
26,Web Intents Shim,,Web Intents is a framework for client-side service discovery and inter-application communication. This shim provides Web Intents functionality before it is implemented in browsers.,javascript,1315144800000,1315144800000,no,http://webintents.org/,
27,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1315144800000,1383690638863,no,http://developers.facebook.com/docs/reference/plugins/like/,
28,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1315144800000,1635058800000,no,http://twitter.com/about/resources,
29,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1315144800000,1537830000000,no,http://developers.facebook.com/docs/reference/javascript/,
30,Chartbeat,['Visitor Count Tracking'],Live traffic monitoring of your website.,analytics,1315144800000,1315144800000,yes,http://chartbeat.com,
31,GoSquared,['Audience Measurement'],"See who's reading, commenting, joining, or buying on your website right now.",analytics,1315144800000,1315144800000,yes,http://www.gosquared.com/,
32,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1315144800000,1614499200000,no,http://aws.amazon.com/cloudfront/,
33,Twitter Widget,,"Adds twitter to the website, this includes the user of a twitter badge, blogger JavaScript or anything from widgets.twimg.com.",widgets,1315144800000,1315144800000,no,http://twitter.com,
34,NationBuilder,['Community CMS'],Community Organizing System - both a website and a people database.,cms,1315144800000,1537830000000,yes,http://nationbuilder.com,
35,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1315144800000,1636182000000,no,http://httpd.apache.org/,
36,Ubuntu,,"Ubuntu is a free, Debian derived Linux-based operating system, available with both community and professional support.",Server,1315144800000,1633244400000,no,http://ubuntu.com,
37,Phusion Passenger,,"Phusion Passenger - a.k.a. mod_rails or mod_rack - is a web server and application server, designed to be fast, robust and  lightweight. Administration tools allow you to gain insight into web application operations and server performance.",Web Server,1315144800000,1537830000000,no,http://www.modrails.com/,
38,Ruby on Rails,,Ruby on Rails is an open-source web framework that is optimized for programmer happiness and sustainable productivity.,framework,1315144800000,1537830000000,no,http://www.rubyonrails.org/,
