,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Loopia,['Swedish hosting'],Network infrastructure from Loopia based in Sweden.,hosting,1422399600000,1467241200000,no,http://loopia.se,
1,Loopia DNS,,Sweden based DNS and hosting provider.,ns,1434841200000,1467241200000,no,http://loopia.se,
2,Bahnhof Internet,['Swedish hosting'],Network infrastructure from Bahnhof Internet based in Sweden.,hosting,1488322800000,1517266800000,no,http://bahnhof.se,
3,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1496530800000,1636358400000,no,http://www.drupal.org,
4,PHP 7,,Version 7 of the PHP framework.,framework,1496530800000,1518822000000,no,http://php.net/,PHP
5,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1496530800000,1636095600000,no,http://www.facebook.com,
6,Fonts.com,['Fonts'],Uses web fonts from fonts.com.,widgets,1496530800000,1619247600000,no,http://www.fonts.com,
7,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1496530800000,1636358400000,no,http://fontawesome.io,
8,GlobalSign,['Root Authority'],Certificate provided by GlobalSign.,ssl,1496530800000,1531782000000,no,http://globalsign.com,
9,Drupal 8,,Version 8 of the popular CMS Drupal.,cms,1496530800000,1636358400000,no,https://www.drupal.org/drupal-8.0,Drupal
10,Swedish,,Website content is written in Swedish.,language,1496530800000,1636358400000,no,http://sv.wikipedia.org,
11,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1496530800000,1633244400000,no,http://nginx.net/,
12,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1496530800000,1636268400000,no,http://www.openspf.org/,
13,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1496530800000,1636358400000,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
