,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1379631600000,1635922800000,no,https://google.com,
1,Google Maps,['Maps'],Google maps embedded into the webpage.,mapping,1379631600000,1478732400000,no,http://www.google.com/apis/maps/,
2,GlobalSign,['Root Authority'],Certificate provided by GlobalSign.,ssl,1372806000000,1465426800000,no,http://globalsign.com,
3,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1371250800000,1371250800000,no,http://newrelic.com/,
4,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1371250800000,1636268400000,no,http://aws.amazon.com/cloudfront/,
5,TYPO3,"['Community CMS', 'Enterprise', 'Open Source']",TYPO3 Content Management Framework for enterprise purposes on the web and in intranets written in PHP.,cms,1359637200000,1636268400000,no,http://www.typo3.org,
6,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1359637200000,1427238000000,no,http://developers.facebook.com/docs/reference/plugins/like,
7,Facebook Graph API,,This site has content that utilizes the Facebook Graph API,javascript,1359637200000,1478646000000,no,http://developers.facebook.com/docs/api,
8,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1359637200000,1371942000000,no,http://twitter.com/about/resources,
9,jQuery prettyPhoto,['jQuery Plugin'],prettyPhoto is a jQuery lightbox clone which supports additional meta types such as video.,javascript,1359637200000,1478732400000,no,http://www.no-margin-for-errors.com/projects/prettyphoto-jquery-lightbox-clone/,jQuery
10,Nivo Slider,['Slider'],A polished JQuery Slider plugin.,javascript,1359637200000,1365080400000,no,http://nivo.dev7studios.com/,
11,jQuery QTip,,qTip is an advanced tooltip plugin for the ever popular jQuery JavaScript framework.,javascript,1359637200000,1365080400000,no,http://craigsworks.com/projects/qtip/,jQuery
12,ProServe,['Dutch hosting'],Network infrastructure from ProServe based in Netherlands.,hosting,1359637200000,1447196400000,no,http://proserve.nl,
13,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1346940000000,1635922800000,no,http://developers.facebook.com/,
