,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,AdRoll,"['Ad Network', 'Retargeting / Remarketing']",AdRoll is a retargeting platform with a mission to make display advertising simple for business of all sizes.,ads,1458169200000,1491519600000,no,http://adroll.com,
1,Mobile Optimized,,Microsoft invented the MobileOptimized META tag to control the layout width for mobile markup rendered in Internet Explorer Mobile.,mobile,1458169200000,1622703600000,no,http://msdn.microsoft.com/en-us/library/bb159711.aspx,
2,Google Remarketing,['Retargeting / Remarketing'],Google code specifically for remarketing/retargeting based advertising.,ads,1458169200000,1622703600000,no,http://www.google.com.au/ads/innovations/remarketing.html,
3,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1458169200000,1635145200000,no,http://plugins.jquery.com/once/,jQuery
4,WebFont Loader,,"WebFont Loader gives you added control when using linked fonts via @font-face, from Typekit.",javascript,1458169200000,1547679600000,no,https://github.com/typekit/webfontloader,
5,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1458169200000,1635145200000,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
6,Facebook Embedded Video,['Social Video Platform'],Facebook embedded video player.,media,1458169200000,1463007600000,no,https://developers.facebook.com/docs/plugins/embedded-video-player,
7,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1458169200000,1635145200000,no,http://www.drupal.org,
8,Google Conversion Tracking,"['Conversion Optimization', 'Conversion Tracking']","This free tool in AdWords can show you what happens after customers click your ad (for example, whether they purchased your product, called from a mobile phone or downloaded your app).",analytics,1458169200000,1622703600000,no,https://support.google.com/adwords/answer/1722054,
9,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1458169200000,1482879600000,no,http://geotrust.com,
10,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1458169200000,1635145200000,no,http://jquery.com,jQuery
11,jQuery Colorbox,['jQuery Plugin'],"A light-weight, customizable lightbox plugin for jQuery.",javascript,1458169200000,1635145200000,no,http://colorpowered.com/colorbox/,jQuery
12,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1458169200000,1618902000000,no,https://github.com/carhartl/jquery-cookie,jQuery
13,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1458169200000,1635145200000,no,http://fontawesome.io,
