,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Highslide,,Highslide JS is a piece of JavaScript that streamlines the use of thumbnail images on web pages.,javascript,1359187200000,1462834800000,no,http://www.highslide.com/,
1,WebFont Loader,,"WebFont Loader gives you added control when using linked fonts via @font-face, from Typekit.",javascript,1388908800000,1631257200000,no,https://github.com/typekit/webfontloader,
2,Joomla!,['Open Source'],Joomla! is a Content Management System and Web Application Framework.,cms,1223881200000,1462834800000,no,http://joomla.org,
3,Atom,,Atom Syndication Format is an XML language used for web feeds very similar to RSS.,feeds,1349852400000,1462834800000,no,http://en.wikipedia.org/wiki/Atom_%28standard%29,
4,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1294473600000,1509836400000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
5,FeedBurner,,FeedBurner is the leading provider of media distribution and audience engagement services for blogs and RSS feeds.,feeds,1349852400000,1462834800000,no,http://feedburner.com,
6,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1349852400000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
7,Google Hosted Libraries,,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",javascript,1388908800000,1575327600000,no,https://developers.google.com/speed/libraries/,
8,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1458601200000,1635231600000,no,http://nginx.net/,
9,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1388908800000,1635231600000,no,http://aws.amazon.com/cloudfront/,
10,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1294473600000,1636268400000,no,http://google.com/analytics,
11,Google Maps API,,Google Maps has a wide array of APIs that let you embed the functionality of Google Maps.,mapping,1359187200000,1635231600000,no,https://developers.google.com/maps/,
12,Google Hosted Web Font Loader,,Web Font Loader hosted at Google.,javascript,1388908800000,1575327600000,no,https://developers.google.com/speed/libraries/,Google Hosted Libraries
13,Google Maps,['Maps'],Google maps embedded into the webpage.,mapping,1294473600000,1635231600000,no,http://www.google.com/apis/maps/,
14,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1458601200000,1633158000000,no,http://www.php.net,
15,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1388908800000,1575327600000,no,http://code.google.com/apis/ajaxlibs/documentation/,
16,WP-Members,['WordPress Plugins'],Free membership management framework for WordPress.,widgets,1467241200000,1467327600000,no,https://wordpress.org/plugins/wp-members/,
17,Autoptimize,['WordPress Plugins'],A script concatenation plugin for WordPress.,widgets,1467241200000,1605168000000,no,https://wordpress.org/plugins/autoptimize,
18,MSN/Bing Webmaster,,Site registered at MSN/Bing Webmaster.,Web Master,1467327600000,1575327600000,no,http://webmaster.live.com,
19,Slider Revolution,['WordPress Plugins'],A response sliding image plugin.,widgets,1467327600000,1636268400000,no,http://codecanyon.net/item/slider-revolution-responsive-wordpress-plugin/2751380?ref=garazy,
20,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1294473600000,1636268400000,no,http://jquery.com,jQuery
21,Really Simple Discovery,,"Really Simple Discovery is a way to help client software find the services needed to read, edit, or ""work with"" weblogging software.",feeds,1467327600000,1636268400000,no,http://cyber.law.harvard.edu/blogs/gems/tech/rsd.html,
22,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1467327600000,1635231600000,no,http://fontawesome.io,
