,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1413331200000,no,http://httpd.apache.org/docs/2.2,Apache
1,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1385074800000,1385074800000,no,http://developers.facebook.com/,
2,Comodo PositiveSSL,,Comodo Positive SSL certificate.,ssl,1379286000000,1578610800000,no,http://www.positivessl.com/ssl-certificate-positivessl.php,
3,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1379286000000,1578610800000,no,http://comodo.com,
4,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1376866800000,1636358400000,no,http://jquery.com,jQuery
5,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1371250800000,1529362800000,no,http://www.facebook.com,
6,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1371250800000,1633158000000,no,http://akamai.com,
7,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1371250800000,1634626800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
8,eZ Systems,"['Enterprise', 'Open Source']",The leading Open Source Enterprise Content Management system and framework with many extensions available.,cms,1320584400000,1413331200000,maybe,http://ez.no/,
9,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1320584400000,1615017600000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
10,MooTools,['JavaScript Library'],"MooTools is a compact, modular, Object-Oriented JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible and cross-browser code with its elegant, well documented and coherent API.",javascript,1320584400000,1413331200000,no,http://mootools.net/,
11,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1320584400000,1413331200000,no,http://www.huddletogether.com/projects/lightbox/,
12,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1320584400000,1617174000000,no,http://google.com/analytics,
13,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1320584400000,1559430000000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
14,Matomo,"['Audience Measurement', 'Conversion Optimization', 'Site Optimization']","Matomo is an open source web analytics software. It gives interesting reports on your website visitors, your popular pages, the search engines keywords they used, the language they speak and so much more. Previously known as Piwik Web Analytics.",analytics,1320584400000,1636358400000,no,http://matomo.org,
15,Varnish,,Varnish is a web accelerator / reverse proxy caching server.,Web Server,1320584400000,1634194800000,no,http://varnish-software.com/,
16,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1320584400000,1636268400000,no,http://httpd.apache.org/,
17,Amazon,"['Cloud Hosting', 'Cloud PaaS']",This site is hosted on Amazon AWS EC2 Infrastructure.,hosting,1352379600000,1413331200000,no,http://aws.amazon.com,
18,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397862000000,1636268400000,no,http://www.openspf.org/,
19,Amazon Ireland Region,,Amazon Hosted EC2 Instances in Ireland,hosting,1409356800000,1413331200000,no,http://aws.amazon.com,Amazon
20,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1413849600000,1636358400000,no,http://www.drupal.org,
21,jQuery Masonry,['UI'],Masonry is a layout plugin for jQuery. Think of it as the flip side of CSS floats.,javascript,1413849600000,1636358400000,no,http://desandro.com/resources/jquery-masonry/,jQuery
22,Tinycon,['UI'],A library for manipulating a websites favicon.,javascript,1413849600000,1634194800000,no,http://blog.tommoor.com/tinycon/,
23,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1413849600000,1563231600000,no,http://twitter.com/about/resources,
24,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1413849600000,1560898800000,no,http://twitter.com,
25,Hetzner,"['Dedicated Hosting', 'German hosting']",German based dedicated and virtual hosting running on 100% green energy.,hosting,1413154800000,1435186800000,no,http://www.hetzner.de,
26,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1413849600000,1617174000000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
27,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1414281600000,1636268400000,no,http://youtube.com,
28,Drupal Commerce,['Open Source'],"Drupal Commerce is an open source
e-commerce framework built on Drupal.",shop,1418079600000,1519167600000,no,http://www.drupalcommerce.org/,
29,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1424905200000,1593212400000,no,http://www.doubleclick.com,
30,Drupal 7,,Version 7 of Drupal.,cms,1424905200000,1636358400000,no,http://www.drupal.org/drupal-7.0,Drupal
31,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1424905200000,1636358400000,no,http://fancybox.net/,
32,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1424905200000,1563231600000,no,http://twitter.com/settings/widgets,
33,CKEditor,,Web-based HTML text editor with powerful formatting capabilities. Previously known as FCKeditor.,widgets,1424905200000,1634194800000,no,http://www.fckeditor.net,
34,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1424905200000,1634626800000,no,http://nginx.net/,
35,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1424905200000,1636358400000,no,http://plugins.jquery.com/once/,jQuery
36,jQuery Mousewheel,['jQuery Plugin'],Adds mouse wheel support to the web site.,javascript,1424905200000,1636358400000,no,http://plugins.jquery.com/project/mousewheel,jQuery
37,FlexSlider,"['jQuery Plugin', 'Slider']",jQuery Slider toolkit from Woothemes.,javascript,1424905200000,1636358400000,no,http://www.woothemes.com/flexslider,
38,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1424905200000,1636358400000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
39,Explorer Canvas,,HTML5 Canvas for Internet Explorer,javascript,1424905200000,1636358400000,no,http://code.google.com/p/explorercanvas/,
40,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1424905200000,1427760000000,no,http://developers.facebook.com/docs/reference/plugins/like,
