,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery 1.3.2,,jQuery version 1.3.2,javascript,1385679600000,1392332400000,no,http://blog.jquery.com/2009/02/20/jquery-1-3-2-released/,jQuery
1,ASP.NET 2.0,,ASP.NET version 2.0.*,framework,1385679600000,1392332400000,no,http://www.microsoft.com/net,ASP.NET
2,AlphaSSL,['Root Authority'],"Certificate provided by AlphaSSL, a GlobalSign company.",ssl,1380841200000,1381446000000,no,http://alphassl.com,
3,Thawte SSL123,,SSL123 Certificates have fast issuance time to quickly enable encrypted connections to your web server.,ssl,1372806000000,1392332400000,no,http://www.thawte.com/ssl/ssl123-ssl-certificates/index.html,
4,Thawte SSL,['Root Authority'],Certificated provided by Thawte.,ssl,1372806000000,1392332400000,no,http://thawte.com,
5,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1364302800000,1614931200000,no,http://akamai.com,
6,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1367157600000,1635058800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
7,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1367157600000,1614844800000,no,http://www.facebook.com,
8,Sendgrid,['Transactional Email'],SendGrid's cloud-based email infrastructure provides businesses with email delivery management.,mx,1363266000000,1568156400000,yes,http://sendgrid.com/,
9,MailChimp,['Feedback Forms and Surveys'],MailChimp is a widely used Mailng List delivery and support service.,widgets,1362056400000,1614672000000,maybe,http://www.mailchimp.com,
10,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1353589200000,1594076400000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
11,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1354798800000,1636268400000,no,http://www.facebook.com/facebook-widgets/share.php,
12,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1324213200000,1636444800000,no,http://jqueryui.com/,jQuery
13,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1338472800000,1636444800000,no,http://code.google.com/apis/ajaxlibs/documentation/,
14,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1301839200000,1636444800000,no,http://developers.facebook.com/,
15,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1301839200000,1636444800000,no,http://developers.facebook.com/docs/reference/javascript/,
16,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1301839200000,1461798000000,no,http://developers.facebook.com/docs/reference/plugins/like,
17,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1301839200000,1614672000000,no,http://developers.facebook.com/docs/reference/plugins/like/,
18,Microsoft Ajax Content Delivery Network,,The Microsoft Ajax Content Delivery Network hosts popular third party JavaScript libraries.,cdn,1294059600000,1392332400000,no,http://www.asp.net/ajaxlibrary/CDN.ashx,
19,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1294059600000,1636444800000,no,http://jquery.com,jQuery
20,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1294059600000,1573599600000,no,http://www.google.com/webmasters/,
21,JCarousel,"['jQuery Plugin', 'Slider']",jCarousel is a jQuery plugin for controlling a list of items in horizontal or vertical order.,javascript,1294059600000,1392332400000,no,http://sorgalla.com/jcarousel/,
22,jQuery Tools,['jQuery Plugin'],A collection of the most important user-interface components for todays websites.,javascript,1294059600000,1336744800000,no,http://flowplayer.org/tools/,jQuery
23,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1294059600000,1480978800000,no,http://blog.deconcept.com/swfobject/,
24,Amazon S3,,Amazon Simple Storage provides unlimited storage to developers and online businesses - saving costs and increase storage reliability.,cdn,1294059600000,1635058800000,no,http://aws.amazon.com/s3,
25,CrazyEgg,['Site Optimization'],Crazy Egg provides visualization of visits to your website.,analytics,1294059600000,1392332400000,maybe,http://crazyegg.com/,
26,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1294059600000,1636268400000,no,http://google.com/analytics,
27,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1294059600000,1511218800000,no,http://www.microsoft.com/servers/home.mspx,
28,IIS 7,,Internet-based services for servers using Microsoft Windows.,Web Server,1294059600000,1511218800000,no,http://www.iis.net,IIS
29,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1294059600000,1511218800000,no,http://www.asp.net,
30,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1392937200000,1540767600000,no,http://newrelic.com/,
31,NationBuilder,['Community CMS'],Community Organizing System - both a website and a people database.,cms,1392937200000,1636444800000,yes,http://nationbuilder.com,
32,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1392937200000,1482879600000,no,http://jquery.malsup.com/cycle/,jQuery
33,Apache 2.2,,Apache version 2.2.*,Web Server,1392937200000,1466722800000,no,http://httpd.apache.org/docs/2.2,Apache
34,Google Plus One Platform,,Google+ API functionality.,widgets,1392937200000,1636444800000,no,https://developers.google.com/+/,
