,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Google Remarketing,['Retargeting / Remarketing'],Google code specifically for remarketing/retargeting based advertising.,ads,1379286000000,1631170800000,no,http://www.google.com.au/ads/innovations/remarketing.html,
1,Google JS Api,,Use the Google Loader API. Also see Google API for more generic calls to Google.,javascript,1378422000000,1493074800000,no,https://developers.google.com/loader/,
2,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1378422000000,1488582000000,no,http://twitter.com/settings/widgets,
3,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1378422000000,1491692400000,no,http://twitter.com/about/resources,
4,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1378422000000,1378422000000,no,http://twitter.com,
5,Google API,,The website uses some form of Google APIs to provide interaction with the many API's Google Providers.,javascript,1378422000000,1492988400000,no,http://code.google.com,
6,Google Custom Search,['Site Search'],"Have a website or collection of sites you'd like to search over? With Custom Search Engine, you can harness the power of Google to create a search engine tailored to your needs.",widgets,1378422000000,1493074800000,no,http://google.com/coop/cse/,
7,GoDaddy SSL,['Root Authority'],Certificate provided by GoDaddy.,ssl,1376607600000,1523660400000,no,http://godaddy.com,
8,Google FeedProxy,,"RSS Aggregation stats from Google, previously Feedburner.",feeds,1369922400000,1384297200000,no,http://feedburner.com,
9,Google Maps,['Maps'],Google maps embedded into the webpage.,mapping,1364302800000,1572908400000,no,http://www.google.com/apis/maps/,
10,Google Adsense,['Contextual Advertising'],A contextual advertising solution for delivering Google AdWords ads that are relevant to site content pages.,ads,1367157600000,1492988400000,no,http://google.com/adsense,
11,Google Conversion Tracking,"['Conversion Optimization', 'Conversion Tracking']","This free tool in AdWords can show you what happens after customers click your ad (for example, whether they purchased your product, called from a mobile phone or downloaded your app).",analytics,1367157600000,1636268400000,no,https://support.google.com/adwords/answer/1722054,
12,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1367157600000,1631170800000,no,http://www.doubleclick.com,
13,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1367157600000,1446379360360,no,http://akamai.com,
14,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1367157600000,1634022000000,no,http://www.facebook.com,
15,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1362056400000,1622098800000,no,http://developers.facebook.com/docs/reference/javascript/,
16,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1362056400000,1491692400000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
17,jQuery Tmpl,,A template engine for jQuery,javascript,1343570400000,1380236400000,no,https://github.com/jquery/jquery-tmpl,jQuery
18,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1348668000000,1634022000000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
19,Microsoft Ajax Content Delivery Network,,The Microsoft Ajax Content Delivery Network hosts popular third party JavaScript libraries.,cdn,1348668000000,1367676000000,no,http://www.asp.net/ajaxlibrary/CDN.ashx,
20,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1343570400000,1636268400000,no,http://jquery.com,jQuery
21,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1348668000000,1622098800000,no,http://developers.facebook.com/,
22,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1320584400000,1488582000000,no,http://developers.facebook.com/docs/reference/plugins/like,
23,EPiServer,['Enterprise'],"EPiServer CMS is a fast, flexible and robust Web Content Management system that is used by thousands of organizations and companies around the world for managing their Web sites and intranets.",cms,1301839200000,1572908400000,yes,http://www.episerver.com/,
24,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1301839200000,1636268400000,no,http://www.google.com/webmasters/,
25,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1301839200000,1634022000000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
26,ASP.NET Ajax,,"ASP.NET AJAX is a free framework for quickly creating a new generation of more efficient, more interactive and highly-personalized Web experiences that work across all the most popular browsers.",framework,1301839200000,1391727600000,no,http://ajax.asp.net,
27,Del.icio.us,,The website contains del.icio.us based content.,widgets,1301839200000,1462834800000,no,http://del.icio.us,
28,Twingly,,Gives bloggers the ability to display relevant content from our search on their blogs.,widgets,1301839200000,1346940000000,no,http://www.twingly.com,
29,Omniture SiteCatalyst,['Marketing Automation'],"Omniture SiteCatalyst provides your website with actionable, real-time intelligence regarding online strategies and marketing initiatives.",analytics,1301839200000,1493334000000,yes,http://www.omniture.com/,
30,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1301839200000,1634022000000,no,http://www.microsoft.com/servers/home.mspx,
31,IIS 7,,Internet-based services for servers using Microsoft Windows.,Web Server,1301839200000,1519686000000,no,http://www.iis.net,IIS
32,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1301839200000,1634022000000,no,http://www.asp.net,
33,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1345212000000,1636268400000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
34,EPiServer Hosting,"['Swedish hosting', 'eCommerce Hosting']",EPiServer provides CMS Systems services and is based in Sweden.,hosting,1345730400000,1636268400000,no,http://episerver.com,
35,KnockoutJS,['JavaScript Library'],Simplified dynamic javascript user interface pattern library.,javascript,1389222000000,1493074800000,no,http://knockoutjs.com/,
36,jQuery prettyPhoto,['jQuery Plugin'],prettyPhoto is a jQuery lightbox clone which supports additional meta types such as video.,javascript,1390518000000,1493074800000,no,http://www.no-margin-for-errors.com/projects/prettyphoto-jquery-lightbox-clone/,jQuery
37,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1390518000000,1634022000000,no,http://www.modernizr.com,
38,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1390518000000,1634626800000,no,http://google.com/analytics,
39,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1390518000000,1519686000000,no,http://blog.deconcept.com/swfobject/,
40,matchMedia,['Compatibility'],matchMedia polyfill for testing media queries in JS.,javascript,1390518000000,1634022000000,no,http://github.com/paulirish/matchMedia.js/,
41,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1391727600000,1636268400000,no,http://jqueryui.com/,jQuery
42,YouTube IFrame Upload,,Lets users upload videos to YouTube from any webpage.,widgets,1391727600000,1606896000000,no,http://developers.google.com/youtube/youtube_upload_widget,
43,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1391727600000,1634626800000,no,https://fonts.google.com,
44,jQuery 1.9.0,,jQuery version 1.9.0,javascript,1391727600000,1404691200000,no,http://blog.jquery.com/2013/01/15/jquery-1-9-final-jquery-2-0-beta-migrate-final-released/,jQuery
45,jQuery Validate,['jQuery Plugin'],JQuery Form Validation Plugin.,javascript,1391727600000,1404691200000,no,http://jqueryvalidation.org,jQuery
46,BootstrapCDN,,"Bootstrap CDN system - encompasses MaxCDN, NetDNA and Stackpath - donated to jsDelivr.",cdn,1391727600000,1404691200000,no,http://www.bootstrapcdn.com/,
47,PNG Fix,['Compatibility'],Fixes PNG handling in IE,javascript,1391727600000,1519686000000,no,http://homepage.ntlworld.com/bobosola/pnghowto.htm,
48,jQuery Placeholder,['jQuery Plugin'],The jQuery placeholder easily allows you to emulate the placeholder attribute on input fields for all browsers.,javascript,1391727600000,1614672000000,no,https://github.com/mathiasbynens/jquery-placeholder,jQuery
49,jQuery Highlight,,JQuery Highlight provides highlighting of certain text.,javascript,1391727600000,1404691200000,no,http://johannburkard.de/blog/programming/javascript/highlight-javascript-text-higlighting-jquery-plugin.html,jQuery
50,yepnope,,yepnope is an asynchronous conditional resource loader that allows you to load only the scripts that your users need.,javascript,1392332400000,1624690800000,no,http://yepnopejs.com/,
51,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1393455600000,1514329200000,no,http://aws.amazon.com/cloudfront/,
52,CrazyEgg,['Site Optimization'],Crazy Egg provides visualization of visits to your website.,analytics,1393455600000,1514329200000,maybe,http://crazyegg.com/,
53,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1394060400000,1606550400000,no,http://youtube.com,
54,Bahnhof Internet,['Swedish hosting'],Network infrastructure from Bahnhof Internet based in Sweden.,hosting,1394060400000,1519686000000,no,http://bahnhof.se,
55,bxSlider,"['jQuery Plugin', 'Slider', 'UI']",Response jQuery Content Slider,javascript,1394665200000,1404691200000,no,http://bxslider.com/,
56,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397084400000,1636268400000,no,http://www.openspf.org/,
57,Moment JS,['JavaScript Library'],"moment.js is a date library for parsing, validating, manipulating, and formatting dates.",javascript,1399503600000,1634022000000,no,http://momentjs.com,
58,ReadSpeaker,,Online text to speech application.,widgets,1402873200000,1636268400000,maybe,http://readspeaker.com,
59,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1402873200000,1634022000000,no,https://github.com/afarkas/html5shiv,
60,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1408575600000,1622098800000,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
61,Microsoft Azure DNS,,This domain is verified with Microsoft Azure.,mx,1408838400000,1636268400000,no,http://windowsazure.com,
62,Adform,,"Adform provide media planning, buying, optimization, and reporting for all online display advertising.",ads,1409785200000,1413331200000,no,http://www.adform.com,
63,Media Innovation Group,,"Provides marketing communicators with a single access point to every digital audience, and the technology platform to engage with users.",ads,1410048000000,1413331200000,no,http://www.themig.com,
64,GroupM Xaxis,,"Xaxis ads, a part of GroupM and merged with 24/7 Media.",ads,1410652800000,1413331200000,no,http://www.xaxis.com/uk/,
65,eXelate,,The first and largest open marketplace for behavioral targeting data.,ads,1411599600000,1411599600000,no,http://www.exelate.com,
66,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1411599600000,1493074800000,no,http://www.appnexus.com/,
67,Turn,"['Ad Analytics', 'Audience Targeting', 'Data Management Platform', 'Demand-side Platform', 'Multi-Channel', 'Ad Network', 'Digital Video Ads']","Provides performance-based CPA, CPC, and CPM pricing, automatic and blended targeting, plus market quality control through Smart Marketing technology. Now known as Amobee.",ads,1411599600000,1411599600000,no,http://turn.com,
68,Pubmatic,['Dynamic Creative Optimization'],PubMatic Enables Ad Optimization Across Every Ad Network,ads,1411599600000,1411599600000,no,http://pubmatic.com,
69,Criteo,['Retargeting / Remarketing'],Behavioural targeting for e-commerce customers.,ads,1411599600000,1411599600000,no,http://criteo.com,
70,DemDex,"['Audience Targeting', 'Multi-Channel']","Demdex's turn-key audience management solutions make implementing a dynamic, multi-channel data strategy cost-effective and easy. Now known as Adobe Audience Manager.",ads,1411599600000,1411599600000,no,http://www.demdex.com/,
71,AppNexus Segment Pixel,,An AppNexus Segment Pixel.,ads,1412121600000,1413331200000,no,http://appnexus.com,AppNexus
