,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,HTML5 DocType,,The DOCTYPE is a required preamble for HTML5 websites.,docinfo,1636515083685,1636515083685,no,https://www.w3.org/TR/html51/,
1,HTML5 Boilerplate,,This site is using code from the HTML5 Boilerplate project.,docinfo,1636515083685,1636515083685,no,http://html5boilerplate.com,
2,UTF-8,,UTF-8 (8-bit UCS/Unicode Transformation Format) is a variable-length character encoding for Unicode. It is the preferred encoding for web pages.,encoding,1636515083685,1636515083685,no,http://en.wikipedia.org/wiki/UTF-8,
3,X-UA-Compatible,,"Allows a website to define how a page is rendered in Internet Explorer 8, allowing a website to decide to use IE7 style rendering over IE8 rendering.",docinfo,1636515083685,1636515083685,no,http://blogs.msdn.com/ie/archive/2008/06/10/introducing-ie-emulateie7.aspx,
4,Javascript,,JavaScript is a scripting language most often used for client-side web development.,docinfo,1636515083685,1636515083685,no,http://en.wikipedia.org/wiki/JavaScript,
5,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1636515083685,1636515083685,no,http://newrelic.com/,
6,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1636515083685,1636515083685,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
7,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1636515083685,1636515083685,no,http://apple.com,
8,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1636515083685,1636515083685,no,https://fonts.google.com,
9,Pingback Support,,"A Pingback is one of three types of Linkbacks, methods for Web authors to request notification when somebody links to one of their documents.",feeds,1636515083685,1636515083685,no,http://en.wikipedia.org/wiki/Pingback,
10,Meta Robot,,This page contains a meta robots tag which tells search engines and robots to index or not index the page.,docinfo,1636515083685,1636515083685,no,http://en.wikipedia.org/wiki/Robots_Exclusion_Standard,
11,HREF Lang,,Contains language specific links.,docinfo,1636515083685,1636515083685,no,https://support.google.com/webmasters/answer/189077?hl=en,
12,English HREF LANG,,This webpage has alternate versions available in English via the use of the hreflang tag.,language,1636515083685,1636515083685,no,https://support.google.com/webmasters/answer/189077?hl=en,
13,French HREF LANG,,This webpage has alternate versions available in French via the use of the hreflang tag.,language,1636515083685,1636515083685,no,https://support.google.com/webmasters/answer/189077?hl=en,
14,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1636515083685,1636515083685,no,http://en.wikipedia.org/wiki/RSS_(file_format),
15,WordPress,"['Open Source', 'Blog']","WordPress is a state-of-the-art semantic personal publishing platform with a focus on aesthetics, web standards, and usability.",cms,1636515083685,1636515083685,no,http://wordpress.org,
16,Cascading Style Sheets,,Cascading Style Sheets (CSS) is a stylesheet language used to describe the presentation of a document written in a markup language. Its most common application is to style web pages written in HTML ,docinfo,1636515083685,1636515083685,no,http://en.wikipedia.org/wiki/Cascading_Style_Sheets,
17,Wordpress Plugins,,Plugins are tools to extend the functionality of WordPress. The website uses various plugins from WordPress to provide additional functionality. Some of them may be listed here.,widgets,1636515083685,1636515083685,no,http://codex.wordpress.org/Plugins,
18,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1636515083685,1636515083685,no,http://jquery.com,jQuery
19,Gravity Forms,['Feedback Forms and Surveys'],Contact Forms for WordPress.,widgets,1636515083685,1636515083685,yes,http://www.gravityforms.com/,
20,Masked Input,['jQuery Plugin'],Allows a user to more easily enter fixed width input.,javascript,1636515083685,1636515083685,no,http://digitalbush.com/projects/masked-input-plugin/,
21,SEO_TITLE,,SEO Title,seo_title,1636515083685,1636515083685,no,,
22,Open Graph Protocol,,"The Open Graph protocol enables any web page to become a rich object in a social graph, a open protocol supported by Facebook",docinfo,1636515083685,1636515083685,no,http://opengraphprotocol.org/,
23,Microdata,,Tags that webmasters can use to markup their pages in ways recognized by major search providers.,docinfo,1636515083685,1636515083685,no,http://www.schema.org,
24,Twitter Cards,,Twitter cards make it possible for you to attach media experiences to Tweets that link to your content.,docinfo,1636515083685,1636515083685,no,https://dev.twitter.com/docs/cards,
25,Meta Description,,The description attribute provides a concise explanation of the page content.,docinfo,1636515083685,1636515083685,no,http://en.wikipedia.org/wiki/Meta_tag#The_description_attribute,
26,SEO_META_DESCRIPTION,,SEO Meta Description,seo_meta,1636515083685,1636515083685,no,http://builtwith.com,
27,Google Tag Manager,['Tag Management'],Tag management that lets you add and update website tags without changes to underlying website code.,widgets,1636515083685,1636515083685,no,http://google.com/tagmanager,
28,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1636515083685,1636515083685,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
29,Web App Manifest,,Defines the attributes of a web app in a simple JSON file.  It describes how the web app should appear on the users system and how it should launch.,docinfo,1636515083685,1636515083685,no,https://www.w3.org/TR/appmanifest/,
30,Windows 8 Pinning,,Windows 8 pinning functionality for websites.,docinfo,1636515083685,1636515083685,no,http://www.buildmypinnedsite.com/,
31,HTML 5 Specific Tags,,This page contains tags that are specific to an HTML 5 implementation.,docinfo,1636515083685,1636515083685,no,http://dev.w3.org/html5/html-author/,
32,IFrame,,The page shows content with an iframe; an embedded frame that loads another webpage.,docinfo,1636515083685,1636515083685,no,http://www.w3schools.com/tags/tag_iframe.asp,
33,SEO_H2,,SEO H2,seo_headers,1636515083685,1636515083685,no,,
34,COVID-19,,This website mentions COVID-19 / Novel Coronavirus.,widgets,1636515083685,1636515083685,no,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,
35,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1636515083685,1636515083685,no,http://youtube.com,
36,Slick JS,['Animation'],Fully responsive carousel library.,javascript,1636515083685,1636515083685,no,http://kenwheeler.github.io/slick,
37,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1636515083685,1636515083685,no,http://www.php.net,
38,X-Frame-Options,,"The X-Frame-Options HTTP response header can be used to indicate whether or not a browser should be allowed to render a page in a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.",docinfo,1636515083685,1636515083685,no,https://developer.mozilla.org/en/the_x-frame-options_response_header,
39,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1636515083685,1636515083685,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
