,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,FitVids.JS,['jQuery Plugin'],"A lightweight, easy-to-use jQuery plugin for fluid width video embeds.",javascript,1384470000000,1555023600000,no,http://fitvidsjs.com/,
1,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1379286000000,1568156400000,no,http://twitter.com/settings/widgets,
2,Amazon CloudFront,['Edge Delivery Network'],Amazon CloudFront delivers your static and streaming content using a global network of edge locations.,cdns,1371682800000,1633244400000,yes,http://aws.amazon.com/cloudfront/,
3,Level3 CDN,['Edge Delivery Network'],"Level 3's commitment to utilizing state-of-the-art technology, providing our customers and partners with unprecedented support tools and service.",cdns,1370559600000,1371250800000,yes,http://www.level3.com/,
4,Twitter Embedded Tweets,,Embedded Tweet feature allows websites to generate copy and paste-able HTML markup to render a Tweet on any third-party website.,widgets,1369922400000,1413763200000,no,https://dev.twitter.com/docs/embedded-tweets,
5,Optimizely,"['A/B Testing', 'Site Optimization', 'Conversion Optimization', 'Personalization']",Optimizely empowers companies to deliver more relevant and effective digital experiences on websites and mobile through A/B testing and personalization.,analytics,1369144800000,1573426800000,yes,http://www.optimizely.com,
6,Cloudflare,,Automatically optimizes the delivery of your web pages so your visitors get the fastest page load times and best performance.,cdn,1355490000000,1636268400000,no,http://www.cloudflare.com/,
7,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1343570400000,1636444800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
8,Rackspace CDN,,Rackspace CDN system.,cdn,1355490000000,1391122800000,no,http://rackspace.com,
9,Fastly,['Application Performance'],Real-time Analytics and CDN platform. Analyze your web and server traffic patterns in real-time.,analytics,1355490000000,1636444800000,no,http://fastly.net,
10,Flickr Slideshow,,Adds a Flickr slideshow to The website,widgets,1354798800000,1354798800000,no,http://flickr.com,
11,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1354798800000,1380236400000,no,http://www.macromedia.com/software/flash/about/,
12,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1336744800000,1636444800000,no,http://newrelic.com/,
13,Typekit,,Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the world's best type foundries.,widgets,1336744800000,1636444800000,no,http://typekit.com,
14,Facebook Graph API,,This site has content that utilizes the Facebook Graph API,javascript,1336744800000,1573426800000,no,http://developers.facebook.com/docs/api,
15,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1324213200000,1462834800000,no,https://twitter.com/about/resources/buttons#tweet,
16,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1324213200000,1527894000000,no,http://developers.facebook.com/docs/reference/plugins/like/,
17,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1336744800000,1563577200000,no,http://twitter.com,
18,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1324213200000,1636182000000,no,http://aws.amazon.com/cloudfront/,
19,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1324213200000,1633158000000,no,http://www.php.net,
20,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1323003600000,1636268400000,no,http://code.google.com/apis/ajaxlibs/documentation/,
21,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1320584400000,1636268400000,no,http://www.google.com/webmasters/,
22,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1320584400000,1633244400000,no,http://www.modernizr.com,
23,Google Plus One Platform,,Google+ API functionality.,widgets,1320584400000,1380236400000,no,https://developers.google.com/+/,
24,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1320584400000,1517922000000,no,http://akamai.com,
25,Chartbeat,['Visitor Count Tracking'],Live traffic monitoring of your website.,analytics,1320584400000,1380236400000,yes,http://chartbeat.com,
26,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1315144800000,1636182000000,no,http://developers.facebook.com/,
27,Twitter Follow Button,,Follow Button to your website to increase engagement and create a lasting connection with your audience.,widgets,1315144800000,1527894000000,no,https://twitter.com/about/resources/buttons#follow,
28,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1315144800000,1635058800000,no,http://developers.facebook.com/docs/reference/javascript/,
29,CentOS,,CentOS is an Enterprise-class Linux Distribution derived from sources freely provided to the public by a prominent North American Enterprise Linux vendor.  CentOS conforms fully with the upstream vendors redistribution policy and aims to be 100% binary compatible.,Server,1312120800000,1330779600000,no,http://centos.org,
30,ExpressionEngine,"['eCommerce Enabled', 'Enterprise']","ExpressionEngine is a flexible, feature-rich content management system that empowers thousands of individuals, organizations, and companies around the world to easily manage their website.",cms,1307282400000,1479855600000,no,http://expressionengine.com,
31,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1301839200000,1573426800000,no,http://httpd.apache.org/,
32,Blue State Digital,['Marketing Platform'],This site uses email services from new media agency Blue State Digital.,mx,1344520800000,1575414000000,yes,http://www.bluestatedigital.com/,
33,Amazon SES,['Transactional Email'],"Amazon Simple Email Service (Amazon SES) is a  scalable, bulk, transactional email-sending service for businesses and developers.",mx,1344520800000,1541286000000,yes,http://aws.amazon.com/ses/,
