,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Modernizr 2.5,,Modernizr version 2.5.*,javascript,1385679600000,1473462000000,no,http://modernizr.com/news/modernizr-25/,Modernizr
1,jQuery 1.7.1,,jQuery version 1.7.1,javascript,1385679600000,1473462000000,no,http://blog.jquery.com/2011/11/21/jquery-1-7-1-released/,jQuery
2,bxSlider,"['jQuery Plugin', 'Slider', 'UI']",Response jQuery Content Slider,javascript,1379631600000,1633158000000,no,http://bxslider.com/,
3,Social Share Privacy,['jQuery Plugin'],Per default only a gray mock up image of a like-button is embedded. Only if a user clicks this button the real like-button is loaded and information sent to the social network,javascript,1379631600000,1473462000000,no,http://panzi.github.io/SocialSharePrivacy/,
4,jQuery Placeholder,['jQuery Plugin'],The jQuery placeholder easily allows you to emulate the placeholder attribute on input fields for all browsers.,javascript,1379631600000,1636182000000,no,https://github.com/mathiasbynens/jquery-placeholder,jQuery
5,Google API,,The website uses some form of Google APIs to provide interaction with the many API's Google Providers.,javascript,1378422000000,1473462000000,no,http://code.google.com,
6,Google Maps API,,Google Maps has a wide array of APIs that let you embed the functionality of Google Maps.,mapping,1367676000000,1473462000000,no,https://developers.google.com/maps/,
7,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1365080400000,1636182000000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
8,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1364302800000,1424905200000,no,http://twitter.com/settings/widgets,
9,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1355490000000,1581030000000,no,https://google.com,
10,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1355490000000,1581030000000,no,http://twitter.com,
11,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1349359200000,1473462000000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
12,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1349359200000,1636182000000,no,http://www.modernizr.com,
13,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1349359200000,1424905200000,no,http://twitter.com/about/resources,
14,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1324213200000,1634194800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
15,Google JS Api,,Use the Google Loader API. Also see Google API for more generic calls to Google.,javascript,1320584400000,1473462000000,no,https://developers.google.com/loader/,
16,Matomo,"['Audience Measurement', 'Conversion Optimization', 'Site Optimization']","Matomo is an open source web analytics software. It gives interesting reports on your website visitors, your popular pages, the search engines keywords they used, the language they speak and so much more. Previously known as Piwik Web Analytics.",analytics,1320584400000,1636268400000,no,http://matomo.org,
17,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1315144800000,1346940000000,no,http://developers.facebook.com/,
18,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1315144800000,1473462000000,no,http://www.google.com/webmasters/,
19,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1315144800000,1636268400000,no,http://jquery.com,jQuery
20,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1315144800000,1636182000000,no,http://jqueryui.com/,jQuery
21,jQuery Easing,"['Animation', 'jQuery Plugin']","A jQuery extension that provides functionality to ""ease"" things onto or off of the screen.",javascript,1315144800000,1633158000000,no,http://gsgd.co.uk/sandbox/jquery/easing/,jQuery
22,jQuery Star Rating,,Star Rating Plugin is a plugin for the jQuery JavaScript library that creates a non-obtrusive star rating control.,javascript,1315144800000,1473462000000,no,http://www.fyneworks.com/jquery/star-rating/,jQuery
23,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1315144800000,1473462000000,no,http://jquery.malsup.com/form/,jQuery
24,jQuery Validate,['jQuery Plugin'],JQuery Form Validation Plugin.,javascript,1315144800000,1634194800000,no,http://jqueryvalidation.org,jQuery
25,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1315144800000,1473462000000,no,http://blog.deconcept.com/swfobject/,
26,Google Maps,['Maps'],Google maps embedded into the webpage.,mapping,1315144800000,1473462000000,no,http://www.google.com/apis/maps/,
