,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery 1.7.2,,jQuery version 1.7.2,javascript,1388098800000,1634626800000,no,http://blog.jquery.com/2012/03/21/jquery-1-7-2-released/,jQuery
1,jQuery pngfix,"['Compatibility', 'jQuery Plugin']",This plugin will fix the missing PNG-Transparency in Windows Internet Explorer 5.5 & 6.,javascript,1381705200000,1634626800000,no,http://jquery.andreaseberhard.de/pngFix/,jQuery
2,jQuery Easing,"['Animation', 'jQuery Plugin']","A jQuery extension that provides functionality to ""ease"" things onto or off of the screen.",javascript,1379286000000,1633417200000,no,http://gsgd.co.uk/sandbox/jquery/easing/,jQuery
3,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1379286000000,1447196400000,no,http://www.macromedia.com/software/flash/about/,
4,SoundCloud,,SoundCloud is a platform that puts sound at the heart of communities and websites.,media,1379286000000,1404774000000,no,http://soundcloud.com/,
5,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1379286000000,1615190400000,no,https://twitter.com/about/resources/buttons#tweet,
6,jQuery Colorbox,['jQuery Plugin'],"A light-weight, customizable lightbox plugin for jQuery.",javascript,1369922400000,1634626800000,no,http://colorpowered.com/colorbox/,jQuery
7,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1369922400000,1634626800000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
8,Java EE,,"Java Platform, Enterprise Edition (Java EE) is the industry standard for developing portable, robust, scalable and secure server-side Java applications.",framework,1369922400000,1634626800000,no,http://java.sun.com/javaee/,
9,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1369922400000,1634626800000,no,http://developers.facebook.com/,
10,Adobe Dreamweaver,,"Based on the use of certain javascript functions, this page contains code generated, at least initially, by Dreamweaver.",framework,1369922400000,1633417200000,no,http://www.adobe.com/products/dreamweaver,
11,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1294059600000,1636444800000,no,http://jquery.com,jQuery
12,jQuery Star Rating,,Star Rating Plugin is a plugin for the jQuery JavaScript library that creates a non-obtrusive star rating control.,javascript,1294059600000,1634626800000,no,http://www.fyneworks.com/jquery/star-rating/,jQuery
13,jQuery Metadata,,"A plugin capable of extracting metadata from classes, random attributes, child elements and HTML5 data-* attributes.",javascript,1294059600000,1634626800000,no,http://plugins.jquery.com/project/metadata,jQuery
14,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1294059600000,1634626800000,no,http://jqueryui.com/,jQuery
15,PNG Fix,['Compatibility'],Fixes PNG handling in IE,javascript,1294059600000,1634626800000,no,http://homepage.ntlworld.com/bobosola/pnghowto.htm,
16,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1294059600000,1634626800000,no,http://blog.deconcept.com/swfobject/,
17,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1294059600000,1636444800000,no,http://google.com/analytics,
18,Del.icio.us,,The website contains del.icio.us based content.,widgets,1294059600000,1615190400000,no,http://del.icio.us,
19,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1294059600000,1633417200000,no,http://www.facebook.com/facebook-widgets/share.php,
20,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1294059600000,1636444800000,no,http://httpd.apache.org/,
21,Slide Flickr,,Embeded flickr images into The website in a slide show style widget.,widgets,1389481200000,1404774000000,no,http://slideflickr.com,
