,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,HTML5 DocType,,The DOCTYPE is a required preamble for HTML5 websites.,docinfo,1636515101437,1636515101437,no,https://www.w3.org/TR/html51/,
1,Conditional Comments,,The website uses conditional comments that are supported by Microsoft Internet Explorer. They allow web developers to show or hide HTML code based on the version of the viewer's browser.,docinfo,1636515101437,1636515101437,no,http://www.quirksmode.org/css/condcom.html,
2,HTML5 Boilerplate,,This site is using code from the HTML5 Boilerplate project.,docinfo,1636515101437,1636515101437,no,http://html5boilerplate.com,
3,UTF-8,,UTF-8 (8-bit UCS/Unicode Transformation Format) is a variable-length character encoding for Unicode. It is the preferred encoding for web pages.,encoding,1636515101437,1636515101437,no,http://en.wikipedia.org/wiki/UTF-8,
4,X-UA-Compatible,,"Allows a website to define how a page is rendered in Internet Explorer 8, allowing a website to decide to use IE7 style rendering over IE8 rendering.",docinfo,1636515101437,1636515101437,no,http://blogs.msdn.com/ie/archive/2008/06/10/introducing-ie-emulateie7.aspx,
5,Google Chrome IE Frame,,Frames Google Chrome window into Internet Explorer for HTML 5 compatibility.,docinfo,1636515101437,1636515101437,no,http://code.google.com/chrome/chromeframe/,
6,SEO_TITLE,,SEO Title,seo_title,1636515101437,1636515101437,no,,
7,Dublin Core,,The website contains dublin core meta data extensions.,feeds,1636515101437,1636515101437,no,http://dublincore.org,
8,Meta Description,,The description attribute provides a concise explanation of the page content.,docinfo,1636515101437,1636515101437,no,http://en.wikipedia.org/wiki/Meta_tag#The_description_attribute,
9,SEO_META_DESCRIPTION,,SEO Meta Description,seo_meta,1636515101437,1636515101437,no,http://builtwith.com,
10,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1636515101437,1636515101437,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
11,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1636515101437,1636515101437,no,http://apple.com,
12,Skype Toolbar,,Prevents phone numbers from being translated by the Skype toolbar if they are not formatted correctly.,docinfo,1636515101437,1636515101437,no,http://forum.skype.com/index.php?showtopic=78380,
13,Open Graph Protocol,,"The Open Graph protocol enables any web page to become a rich object in a social graph, a open protocol supported by Facebook",docinfo,1636515101437,1636515101437,no,http://opengraphprotocol.org/,
14,Twitter Cards,,Twitter cards make it possible for you to attach media experiences to Tweets that link to your content.,docinfo,1636515101437,1636515101437,no,https://dev.twitter.com/docs/cards,
15,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1636515101437,1636515101437,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
16,Web App Manifest,,Defines the attributes of a web app in a simple JSON file.  It describes how the web app should appear on the users system and how it should launch.,docinfo,1636515101437,1636515101437,no,https://www.w3.org/TR/appmanifest/,
17,Windows 8 Pinning,,Windows 8 pinning functionality for websites.,docinfo,1636515101437,1636515101437,no,http://www.buildmypinnedsite.com/,
