,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Apache 2.2,,Apache version 2.2.*,Web Server,1387148400000,1518735600000,no,http://httpd.apache.org/docs/2.2,Apache
1,Python 2.4,,Python version 2.4.*,framework,1387148400000,1389567600000,no,http://www.python.org/download/releases/2.4/,Python
2,Python 3.2,,Python version 3.2.*,framework,1387148400000,1389567600000,no,http://www.python.org/download/releases/3.2/,Python
3,jQuery 1.4.2,,jQuery version 1.4.2,javascript,1387148400000,1389567600000,no,http://blog.jquery.com/2010/02/19/jquery-142-released/,jQuery
4,OpenSSL 0.9.8,,OpenSSL version 0.9.8,Server,1387148400000,1403046000000,no,http://www.openssl.org,OpenSSL
5,mod_ssl 2.2.3,,mod_ssl version 2.2.3,Server,1387148400000,1389567600000,no,http://httpd.apache.org/docs/2.2/mod/mod_ssl.html,mod_ssl
6,AddThis,"['Social Sharing', 'Bookmarking']",Widgets that allow visitors to save and promote the site.,widgets,1383690638863,1633417200000,no,http://addthis.com,
7,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1380841200000,1603436400000,no,http://www.huddletogether.com/projects/lightbox/,
8,jScrollPane,"['jQuery Plugin', 'UI']",jScrollPane is a cross-browser jQuery plugin by Kelvin Luck which converts a browser's default scrollbars into an HTML structure which can be easily skinned with CSS.,javascript,1380841200000,1389567600000,no,http://jscrollpane.kelvinluck.com/,
9,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1375398000000,1598684400000,no,http://www.facebook.com,
10,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1375398000000,1382655600000,no,http://akamai.com,
11,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1375398000000,1602658800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
12,Python,,"Python is a dynamic object-oriented programming language that can be used for many kinds of software development. It offers strong support for integration with other languages and tools, comes with extensive standard libraries, and can be learned in a few days. ",framework,1369922400000,1389567600000,no,http://www.python.org,
13,OpenSSL,,"The OpenSSL Project is a collaborative effort to develop a robust, commercial-grade, full-featured, and Open Source toolkit implementing the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols as well as a full-strength general purpose cryptography library.",Server,1369922400000,1482879600000,no,http://openssl.org,
14,mod_ssl,,This module provides strong cryptography for the Apache 1.3 webserver via the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols,Server,1369922400000,1482879600000,no,http://www.modssl.org/,
15,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1325854800000,1403046000000,no,http://developers.facebook.com/docs/reference/plugins/like,
16,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1325854800000,1636182000000,no,http://jquery.com,jQuery
17,jQuery Tools,['jQuery Plugin'],A collection of the most important user-interface components for todays websites.,javascript,1325854800000,1389567600000,no,http://flowplayer.org/tools/,jQuery
18,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1325854800000,1602658800000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
19,jQuery Validate,['jQuery Plugin'],JQuery Form Validation Plugin.,javascript,1325854800000,1389567600000,no,http://jqueryvalidation.org,jQuery
20,jQuery Mousewheel,['jQuery Plugin'],Adds mouse wheel support to the web site.,javascript,1325854800000,1528498800000,no,http://plugins.jquery.com/project/mousewheel,jQuery
21,Nivo Slider,['Slider'],A polished JQuery Slider plugin.,javascript,1325854800000,1389567600000,no,http://nivo.dev7studios.com/,
