,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1458514800000,1636268400000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
1,Adform,,"Adform provide media planning, buying, optimization, and reporting for all online display advertising.",ads,1447887600000,1541199600000,no,http://www.adform.com,
2,matchMedia,['Compatibility'],matchMedia polyfill for testing media queries in JS.,javascript,1420585200000,1541199600000,no,http://github.com/paulirish/matchMedia.js/,
3,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1447887600000,1541199600000,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
4,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1420585200000,1636268400000,no,http://jquery.com,jQuery
5,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1458601200000,1541199600000,no,http://www.asp.net,
6,Mobile Non Scaleable Content,,"This content is formatted for mobile devices, it does not allow the content to be scaled.",mobile,1420585200000,1541199600000,no,http://developer.apple.com/library/safari/#documentation/appleapplications/reference/SafariHTMLRef/Articles/MetaTags.html,
7,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1458601200000,1636268400000,no,http://www.openspf.org/,
8,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1420585200000,1636268400000,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
9,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1420585200000,1541199600000,no,http://www.modernizr.com,
10,jQuery CDN,,The jQuery Amazon S3 Content Delivery Network,cdn,1420585200000,1541199600000,no,http://blog.jquery.com/2008/11/19/cloudfront-cdn-for-jquery/,
11,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1447887600000,1635231600000,no,http://developers.facebook.com/docs/reference/javascript/,
12,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1420585200000,1636268400000,no,http://twitter.com,
13,Office 365 Mail,['Business Email Hosting'],Email sent from this domain has records showing Office 365 usage.,mx,1458601200000,1636268400000,no,https://products.office.com/en-us/business/office,
14,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1136070000000,1636268400000,no,http://google.com/analytics,
15,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1447887600000,1635231600000,no,http://developers.facebook.com/,
16,jQuery 2.0.3,,jQuery version 2.0.3,javascript,1420585200000,1541199600000,no,http://blog.jquery.com/2013/07/03/jquery-1-10-2-and-2-0-3-released/,jQuery
17,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1420585200000,1583622000000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
18,Microsoft Azure DNS,,This domain is verified with Microsoft Azure.,mx,1458601200000,1636268400000,no,http://windowsazure.com,
19,Facebook Pixel,,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.,analytics,1447887600000,1541199600000,no,https://www.facebook.com/business/help/952192354843755,
20,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1420585200000,1636268400000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
21,CookieBanner,['Privacy Compliance'],EU cookie banner widget.,widgets,1420585200000,1541199600000,no,http://cookiebanner.eu,
22,Dedicated Hosting,,This website is on an IP address not shared with other domains - it is more likely this website is not using shared hosting for this reason.,hosting,1467327600000,1510095600000,no,https://en.wikipedia.org/wiki/Dedicated_hosting_service,
23,FastClick,['Mobile'],Polyfill to remove click delays on browsers with touch UIs.,widgets,1477522800000,1540681200000,no,http://labs.ft.com,
24,Facebook Tag API,"['Audience Measurement', 'Conversion Optimization']",The Javascript Tag API can be used to track custom audience and conversion events.,analytics,1477522800000,1540681200000,no,https://developers.facebook.com/docs/ads-for-websites/tag-api,
25,CryptoJS,,CryptoJS is a growing collection of standard and secure cryptographic algorithms implemented in JavaScript using best practices and patterns. ,javascript,1477522800000,1540681200000,no,https://code.google.com/p/crypto-js/,
26,GSAP,['Animation'],"GSAP is a suite of tools for scripted, high-performance HTML5 animations that work in all major browsers from GreenSock.",javascript,1477522800000,1540681200000,no,http://greensock.com/gsap/,
27,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1477522800000,1540681200000,no,https://github.com/afarkas/html5shiv,
28,MediaElement.js,['Video Players'],HTML5 audio and video players in pure HTML and CSS.,media,1477522800000,1540681200000,no,http://mediaelementjs.com/,
