,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,ASP.NET 2.0,,ASP.NET version 2.0.*,framework,1387148400000,1397862000000,no,http://www.microsoft.com/net,ASP.NET
1,jQuery 1.5.2,,jQuery version 1.5.2,javascript,1387148400000,1397862000000,no,http://blog.jquery.com/2011/03/31/jquery-152-released/,jQuery
2,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1381705200000,1397862000000,no,http://www.huddletogether.com/projects/lightbox/,
3,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1376866800000,1559343600000,no,http://twitter.com/settings/widgets,
4,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1376866800000,1636444800000,no,http://twitter.com/about/resources,
5,Vocus Communications,['Australian hosting'],"Focus on providing high performance, high availability, and highly scalable communications solutions.",hosting,1369317600000,1376866800000,no,http://www.vocus.com.au/,
6,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1364302800000,1593471600000,no,http://akamai.com,
7,Flickr API,,Calls the Flickr API to add a photostream to the page.,media,1364302800000,1434841200000,no,http://api.flickr.com/services/rest/ ,
8,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1364302800000,1397084400000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
9,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1364302800000,1632553200000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
10,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1364302800000,1611388800000,no,http://www.facebook.com,
11,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1324213200000,1514242800000,no,http://youtube.com,
12,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1324213200000,1341496800000,no,http://www.macromedia.com/software/flash/about/,
13,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1317560400000,1636444800000,no,http://developers.facebook.com/,
14,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1317560400000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
15,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1317560400000,1636444800000,no,http://jquery.com,jQuery
16,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1317560400000,1397862000000,no,http://fancybox.net/,
17,jQuery UI Tabs,"['jQuery Plugin', 'UI']",Support tabs interfaces using the JQuery library,javascript,1317560400000,1397862000000,no,http://docs.jquery.com/UI/Tabs,jQuery
18,jQuery Tmpl,,A template engine for jQuery,javascript,1317560400000,1397862000000,no,https://github.com/jquery/jquery-tmpl,jQuery
19,jQuery Mousewheel,['jQuery Plugin'],Adds mouse wheel support to the web site.,javascript,1317560400000,1397862000000,no,http://plugins.jquery.com/project/mousewheel,jQuery
20,jQuery Easing,"['Animation', 'jQuery Plugin']","A jQuery extension that provides functionality to ""ease"" things onto or off of the screen.",javascript,1317560400000,1397862000000,no,http://gsgd.co.uk/sandbox/jquery/easing/,jQuery
21,PNG Fix Tile Background,,A library to support  CSS1 background-repeat and background-position in old browsers.,javascript,1317560400000,1397862000000,no,http://www.tiogatours.nl/reviews/js/assets/fixpng/iepngfix.html,
22,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1317560400000,1476658800000,no,https://github.com/carhartl/jquery-cookie,jQuery
23,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1317560400000,1397862000000,no,http://blog.deconcept.com/swfobject/,
24,JCarousel,"['jQuery Plugin', 'Slider']",jCarousel is a jQuery plugin for controlling a list of items in horizontal or vertical order.,javascript,1317560400000,1397862000000,no,http://sorgalla.com/jcarousel/,
25,ASP.NET Ajax,,"ASP.NET AJAX is a free framework for quickly creating a new generation of more efficient, more interactive and highly-personalized Web experiences that work across all the most popular browsers.",framework,1317560400000,1462834800000,no,http://ajax.asp.net,
26,Twitter Widget,,"Adds twitter to the website, this includes the user of a twitter badge, blogger JavaScript or anything from widgets.twimg.com.",widgets,1317560400000,1373929200000,no,http://twitter.com,
27,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1317560400000,1587942000000,no,http://twitter.com,
28,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1317560400000,1636444800000,no,http://developers.facebook.com/docs/reference/javascript/,
29,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1317560400000,1636444800000,no,http://google.com/analytics,
30,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1317560400000,1462834800000,no,http://www.asp.net,
31,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1317560400000,1376866800000,no,http://www.microsoft.com/servers/home.mspx,
32,IIS 7,,Internet-based services for servers using Microsoft Windows.,Web Server,1317560400000,1376866800000,no,http://www.iis.net,IIS
33,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397084400000,1636444800000,no,http://www.openspf.org/,
34,Modernizr 2.6,,Modernizr version 2.6.*,javascript,1399503600000,1462834800000,no,http://modernizr.com/news/modernizr-260/,Modernizr
35,Progress Sitefinity,['Enterprise'],ASP.NET CMS from Telerik.,cms,1399503600000,1462834800000,no,http://www.sitefinity.com/,
36,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1399503600000,1599030000000,no,http://www.modernizr.com,
37,Microsoft Azure CDN,,Content delivery network services from Microsoft Azure.,cdn,1399503600000,1462834800000,no,http://www.windowsazure.com/en-us/develop/net/data/,
38,Live Writer Support,,Windows Live Writer Tagging Support Schema,feeds,1399503600000,1430265600000,no,http://windowslivewriter.spaces.live.com,
39,GoDaddy SSL,['Root Authority'],Certificate provided by GoDaddy.,ssl,1399503600000,1489186800000,no,http://godaddy.com,
40,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1399503600000,1594681200000,no,https://github.com/afarkas/html5shiv,
41,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1399503600000,1636444800000,no,http://trends.builtwith.com/ssl,
42,yepnope,,yepnope is an asynchronous conditional resource loader that allows you to load only the scripts that your users need.,javascript,1399503600000,1594681200000,no,http://yepnopejs.com/,
43,Telerik Controls,,Telerik controls for ASP.NET websites.,framework,1399503600000,1462834800000,yes,http://telerik.com,
44,FlexSlider,"['jQuery Plugin', 'Slider']",jQuery Slider toolkit from Woothemes.,javascript,1399503600000,1462834800000,no,http://www.woothemes.com/flexslider,
45,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1402873200000,1622012400000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
46,Optimizely,"['A/B Testing', 'Site Optimization', 'Conversion Optimization', 'Personalization']",Optimizely empowers companies to deliver more relevant and effective digital experiences on websites and mobile through A/B testing and personalization.,analytics,1404946800000,1462834800000,yes,http://www.optimizely.com,
47,Mobile Non Scaleable Content,,"This content is formatted for mobile devices, it does not allow the content to be scaled.",mobile,1413331200000,1462834800000,no,http://developer.apple.com/library/safari/#documentation/appleapplications/reference/SafariHTMLRef/Articles/MetaTags.html,
48,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1413331200000,1636444800000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
49,Microsoft Azure DNS,,This domain is verified with Microsoft Azure.,mx,1455750000000,1636444800000,no,http://windowsazure.com,
50,Dedicated Hosting,,This website is on an IP address not shared with other domains - it is more likely this website is not using shared hosting for this reason.,hosting,1458601200000,1462834800000,no,https://en.wikipedia.org/wiki/Dedicated_hosting_service,
51,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1464303600000,1524610800000,no,http://www.drupal.org,
52,BootstrapCDN,,"Bootstrap CDN system - encompasses MaxCDN, NetDNA and Stackpath - donated to jsDelivr.",cdn,1464303600000,1524524400000,no,http://www.bootstrapcdn.com/,
